,,,,,,,Daily Price Arrival Report-07-11-2025 to 07-02-2026 for Uttar Pradesh,,,,,,
State,District,Market,Commodity Group,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,Price Unit,Arrival Quantity,Arrival Unit,Arrival Date
Uttar Pradesh,Agra,Jagnair APMC,Vegetables,Potato,Desi,FAQ,600.00,700.00,650.00,Rs./Quintal,2.00,Metric Tonnes,05-01-2026
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Potato,Desi,FAQ,700.00,800.00,750.00,Rs./Quintal,16.00,Metric Tonnes,31-12-2025
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Potato,Desi,FAQ,550.00,650.00,600.00,Rs./Quintal,55.00,Metric Tonnes,31-01-2026
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Potato,Desi,FAQ,700.00,800.00,750.00,Rs./Quintal,15.00,Metric Tonnes,30-12-2025
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Potato,Desi,FAQ,500.00,600.00,550.00,Rs./Quintal,50.00,Metric Tonnes,30-01-2026
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Potato,Desi,FAQ,500.00,600.00,550.00,Rs./Quintal,25.00,Metric Tonnes,29-01-2026
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Potato,Desi,FAQ,700.00,800.00,750.00,Rs./Quintal,5.00,Metric Tonnes,28-12-2025
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Potato,Desi,FAQ,500.00,600.00,550.00,Rs./Quintal,20.00,Metric Tonnes,28-01-2026
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Potato,Desi,FAQ,700.00,800.00,750.00,Rs./Quintal,12.00,Metric Tonnes,27-12-2025
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Potato,Desi,FAQ,600.00,700.00,650.00,Rs./Quintal,12.00,Metric Tonnes,27-01-2026
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Potato,Desi,FAQ,650.00,750.00,700.00,Rs./Quintal,10.00,Metric Tonnes,26-12-2025
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Potato,Desi,FAQ,"1,000.00","1,100.00","1,050.00",Rs./Quintal,50.00,Metric Tonnes,26-11-2025
Uttar Pradesh,Agra,Khairagarh APMC,Vegetables,Potato,Desi,FAQ,600.00,700.00,650.00,Rs./Quintal,10.00,Metric Tonnes,26-01-2026
